abaĵuro 	Noun 	(archaic) lampshade 	From French abat-jour. 	 
mezaĝa 	Adjective 	middle-aged 	From mezo (“middle”) +‎ aĝo (“age”) +‎ -a (adjectival suffix). 	 
mondaĝo 	Noun 	age, epoch, era 	From mondo (“world”) +‎ aĝo (“age”). 	 
neplenaĝa 	Adjective 	beneath the age of majority, underage 	From ne- +‎ plenaĝo +‎ -a. 	 
neplenaĝulo 	Noun 	minor (a person who is below the age of majority) 	From neplenaĝa +‎ -ulo. 	 
plejaĝulo 	Noun 	elder (an older, respected member of a community or society) 	plej (“most”) +‎ aĝa (“old”) +‎ -ulo (“person”). 	 
plenaĝo 	Noun 	age of majority 	From plena (“full”) +‎ aĝo (“age”). 	 
pliaĝa 	Adjective 	older 	From pli +‎ aĝo +‎ -a. 	 
pliaĝulo 	Noun 	elder (one who is older than the person in question) 	From pliaĝa (“older”) +‎ -ulo (“person”). 	 
profundaĝa 	Adjective 	elderly, extremely old 	From profunda (“deep”) +‎ aĝo (“age”) +‎ -a (adjectival suffix). 	 
samaĝulo 	Noun 	person of the same age, contemporary 	From sama (“same”) +‎ aĝo (“age”) +‎ -ulo (“person”). 	 
tempaĝo 	Noun 	age, epoch, era 	From tempo (“time”) +‎ aĝo (“age”). 	 
ajlo 	Noun 	garlic 	From French ail, Italian aglio. 	 
ajlopremilo 	Noun 	garlic press 	From ajlo (“garlic”) +‎ premi (“to press”) +‎ -ilo. 	 
akapari 	Verb 	to corner the market on (something) 	Borrowed from French accaparer. 	 
akcento 	Noun 	accent, stress, emphasis 	From English accent, French accent, etc., ultimately from Latin accentus. Doublet of akĉento. 	 
akcepti 	Verb 	(transitive) to accept 	Compare English accept, French accepter, Czech akceptovat, etc., ultimately from Latin acceptus, perfect passive participle of accipiō (“receive, accept”) 	 
akcizo 	Noun 	duty tax 	From French accise 	 
akiri 	Verb 	to acquire; to get 	Borrowed from French acquérir and English acquire. 	 
akra 	Adjective 	sharp 	From Italian agro, French aigre, Latin acer. 	 
akraĵo 	Noun 	blade, cutting edge 	From akra +‎ -aĵo. 	 
akrasenta 	Adjective 	keen, perceptive, sensitive, perspicacious, insightful 	akra (“sharp”) +‎ sento (“perception”) +‎ -a. 	 
akravida 	Adjective 	sharp-eyed; perceptive, perspicacious 	akra (“sharp”) +‎ vido (“vision”) +‎ -a. 	 
akreco 	Noun 	sharpness, acuteness, keenness 	From akra +‎ -eco. 	 
akri 	Verb 	(intransitive) to be sharp 	akra +‎ -i. 	 
akrigi 	Verb 	(transitive) to sharpen (a blade, etc.) 	From akra +‎ -igi. 	 
akrigilo 	Noun 	sharpener, whetstone (tool for sharpening blades) 	From akrigi +‎ -ilo. 	 
akro 	Noun 	sharpness, acuteness, keenness 	From akra +‎ -o. 	 
malakra 	Adjective 	blunt, dull 	mal- +‎ akra 	 
akuŝi 	Verb 	(transitive) to give birth to 	Borrowed from French accoucher. 	 
akvarelo 	Noun 	watercolor (US), watercolour (UK) 	From French aquarelle (compare akvo (“water”)). 	 
akvarelisto 	Noun 	watercolourist 	akvarelo +‎ -isto. 	 
aleno 	Noun 	awl (tool used for piercing leather, etc.) 	From French alêne. 	 
algoritmo 	Noun 	(mathematics, computing) algorithm 	From French algorithme, itself from Medieval Latin algorismus, a transliteration of Arabic الخَوَارِزْمِيّ‎ (al-ḵawārizmiyy), from Persian خوارزم‎ (xvârezm)). 	 
alĝeria 	Adjective 	Algerian 	From Alĝerio +‎ -a. 	 
alĝeriano 	Noun 	Algerian 	Alĝerio +‎ -ano. 	 
alizo 	Noun 	the small, orange or red fruit of the common whitebeam, Sorbus aria 	From French alise. 	 
alizujo 	Noun 	common whitebeam (Sorbus aria) 	From alizo +‎ -ujo. 	 
alumeto 	Noun 	match (little stick for starting fires) 	Borrowed from French allumette. 	 
alumetskatolo 	Noun 	matchbox 	From alumeto +‎ skatolo. 	 
alumetujo 	Noun 	matchbox 	From alumeto +‎ -ujo. 	 
amaso 	Noun 	mass (large quantity) 	Borrowed from French amas, Italian ammasso. 	 
amasa 	Adjective 	mass 	amaso +‎ -a. 	 
amasarestado 	Noun 	mass arrest 	From amaso +‎ arestado. 	 
amasbuĉi 	Verb 	to massacre 	From amaso (“mass”) +‎ buĉi (“slaughter”). 	 
amasdetrua armilo 	Noun 	weapon of mass destruction 	  	 
amase 	Adverb 	in large numbers / a large amount, en masse, in droves, in bulk, 	  	 
amasfabriki 	Verb 	(transitive) to mass-produce 	From amaso +‎ fabriki. 	 
amasigi 	Verb 	(transitive) to amass, accumulate, gather, collect, store up, lay up 	From amaso (“mass, heap, pile”) +‎ -igi. 	 
amasiĝi 	Verb 	(intransitive) to accumulate, gather, pile up (of things) 	From amaso +‎ -iĝi. 	 
amasinformilo 	Noun 	mass medium 	From amaso +‎ informilo. 	 
amaskomunikilo 	Noun 	mass medium 	From amaso +‎ komuniki +‎ -ilo. 	 
amasloĝejo 	Noun 	dormitory 	From amaso +‎ loĝejo. 	 
amasmemoro 	Noun 	(computing) mass storage 	From amaso +‎ memoro. 	 
amasmurdo 	Noun 	mass murder 	amaso +‎ murdo. 	 
amasprodukti 	Verb 	to mass-produce 	From amaso +‎ produkti. 	 
amasprotesto 	Noun 	mass protest, mass demonstration 	amaso +‎ protesto. 	 
amastombejo 	Noun 	mass grave 	From amaso +‎ tombejo. 	 
fojnamaso 	Noun 	haystack 	From fojno +‎ amaso. 	 
homamaso 	Noun 	crowd, throng, multitude 	From homo +‎ amaso. 	 
neĝamaso 	Noun 	snowdrift 	From neĝo +‎ amaso. 	 
popolamaso 	Noun 	people, populace, masses, mob, crowd, plebs, hoi polloi 	From popolo +‎ amaso. 	 
stelamaso 	Noun 	(astronomy) globular cluster 	  	 
teramaso 	Noun 	mound, hillock, bank 	From tero +‎ amaso. 	 
ambulanco 	Noun 	ambulance (emergency vehicle) 	From English ambulance and French ambulance. 	 
ambulancisto 	Noun 	ambulance driver 	ambulanco +‎ -isto. 	 
ananaso 	Noun 	pineapple (fruit and plant) 	Borrowed from French ananas. 	 
anĉo 	Noun 	a reed (of woodwind instruments such as the oboe, bassoon, clarinet and saxophone) 	From Italian ancia, French anche 	 
animalo 	Noun 	any member of the animal kingdom including humans 	From English and French animal, ultimately from Latin animal. 	 
ankro 	Noun 	anchor 	From French ancre, German Anker, English anchor, etc., ultimately from Latin ancora. 	 
ankrejo 	Noun 	anchorage (area suitable for vessels to anchor) 	ankro +‎ -ejo. 	 
ankri 	Verb 	to anchor; be anchored; drop anchor (moor a ship using an anchor) 	ankro +‎ -i. 	 
malankri 	Verb 	to weigh anchor 	mal- +‎ ankri. 	 
antaŭĉambro 	Noun 	antechamber, anteroom, entry room 	From antaŭ- +‎ ĉambro, perhaps influenced by English antechamber, French antichambre, Italian anticamera. 	 
aparta 	Adjective 	separate 	From French á part, Italian a parte, English apart. 	 
aperi 	Verb 	(intransitive) to appear 	From French apparaître, Italian apparire, Italian appear. 	 
aranĝi 	Verb 	to arrange 	From French arranger, English arrange, German arrangieren. 	 
alaranĝi 	Verb 	to adapt, adjust 	From al- +‎ aranĝi (“to arrange”). 	 
arbitra 	Adjective 	arbitrary 	From English arbitrary, French arbitraire, Italian arbitrario. 	 
arĝento 	Noun 	silver 	Borrowed from Italian argento, French argent, from Latin argentum. 	 
arĝenta 	Adjective 	silver 	From arĝento +‎ -a. 	 
arkado 	Noun 	(architecture) arcade 	From French arcade, from Italian arcata (“arch of a bridge”), from Latin arcus (“arc”). 	 
arkitekto 	Noun 	architect 	Borrowed from French architecte, English architect, from Ancient Greek ἀρχιτέκτων (arkhitéktōn, “master builder”), from ἀρχι- (arkhi-, “chief”) + τέκτων (téktōn, “builder”). 	 
armeo 	Noun 	army 	From German Armee, French armée. 	 
aerarmeo 	Noun 	(military) air force 	From aero (“air”) +‎ armeo (“army”). 	 
mararmeo 	Noun 	(military) navy (naval force) 	From maro (“sea”) +‎ armeo (“army”). 	 
arondismento 	Noun 	a district, especially an arrondissement 	From French arrondissement. 	 
artiŝoko 	Noun 	artichoke 	From French artichaut, English artichoke, ultimately from Arabic خرشوف‎. 	 
arto 	Noun 	art 	From French art, Italian arte, English art, ultimately from Latin artem, accusative singular of ars. 	 
kuirarto 	Noun 	cuisine 	kuiri (“cook”) +‎ arto (“art”) 	 
asocio 	Noun 	association 	From French associer, Italian associare, English associate. 	 
asonanco 	Noun 	alliteration 	From French assonance. 	 
astmo 	Noun 	(pathology) asthma 	Borrowed from English asthma, French asthme, German Asthma, Portuguese asma, Russian а́стма (ástma). 	 
astronomio 	Noun 	astronomy, the scientific study of celestial bodies 	From English astronomy, Italian astronomia, French astronomie, etc., ultimately from Latin astronomia. 	 
atenta 	Adjective 	attentive 	From French attention, Italian attenzione, English attention, Latin attentus. 	 
atentema 	Adjective 	attentive 	From atento (“attention”) +‎ -ema (“liking”). 	 
atenti 	Verb 	to pay attention 	From atenta +‎ -i. 	 
atentaro 	Noun 	watchlist 	From atenti +‎ -aro. 	 
atentigi 	Verb 	(transitive) to draw attention to 	From atenta +‎ -igi. 	 
atento 	Noun 	attention 	From atenta +‎ -o. 	 
senatenta 	Adjective 	inattentive 	From sen- (“without, -less”) +‎ atento (“attention”) +‎ -a (adjectival suffix). 	 
aŭdebla 	Adjective 	audible 	From aŭdi (“to listen”) +‎ -ebla (“-able”). Reinforced by English audible, French audible. 	 
aŭtomobilo 	Noun 	car 	From French automobile. 	 
avangardo 	Noun 	vanguard 	Borrowed from French avant-garde. 	 
avantaĝo 	Noun 	advantage 	From French avantage. 	 
avara 	Adjective 	avaricious 	Borrowed from French avare. 	 
avarulo 	Noun 	miser 	From avara +‎ -ulo. 	 
avio 	Noun 	airplane/aeroplane 	From French avion. 	 
babili 	Verb 	(intransitive) to chat, chatter, talk 	From French babiller. 	 
babilema 	Adjective 	talkative, loquacious, chatty 	From babili +‎ -ema. 	 
balai 	Verb 	to sweep 	From French balai. 	 
balzamino 	Noun 	balsam (plant) 	Borrowed from French balsamine. 	 
baobabo 	Noun 	baobab 	Borrowed from English baobab, French baobab, Italian baobab, from Arabic أَبُو حِبَاب‎ (ʾabū ḥibāb, “father of many seeds”), from أَبُو‎ (ʾabū, “father”) + حَبّ‎ (ḥabb, “seed”). 	 
barako 	Noun 	temporary shelter, barracks 	From French baraque, English barrack. 	 
barbiro 	Noun 	barber 	From French barbier, German Barbier, English barber 	 
bari 	Verb 	(transitive) to bar, block, obstruct, dam 	From French barrer, English bar. 	 
barikado 	Noun 	barricade 	From French barricade. 	 
bati 	Verb 	(transitive) to beat, to strike, to hit 	From French battre, Italian battere 	 
albati 	Verb 	(transitive) to strike against, knock against 	From al- (“to”) +‎ bati (“to hit, strike”). 	 
batilo 	Noun 	something used for hitting 	From bati (“to hit”) +‎ -ilo. 	 
bazo 	Noun 	base; foundation 	From French base. 	 
beletro 	Noun 	belles-lettres 	Borrowed from French belles-lettres. 	 
beletraĵo 	Noun 	a fine literary work 	From beletro (“belles-lettres”) +‎ -aĵo. 	 
beletristo 	Noun 	a writer of belles-lettres; an author of fine literature 	beletro +‎ -isto 	 
beletristiko 	Noun 	(literature) study of belles-lettres 	  	 
bendo 	Noun 	tape 	From German Band, French bande. 	 
magneta bendo 	Noun 	magnetic tape 	  	 
beni 	Verb 	to bless 	Borrowed from French bénir. 	 
bezoni 	Verb 	to need 	From French besoin. 	 
biciklo 	Noun 	bicycle 	From English or French, but ultimately from bi- (“two”) + Ancient Greek κύκλος (kúklos, “circle, wheel”). 	 
biciklanto 	Noun 	singular present nominal active participle of bicikli 	  	 
bicikli 	Verb 	to cycle (on a bicycle) 	biciklo (“bicycle”) +‎ -i 	 
biero 	Noun 	beer 	From French bière, German Bier. 	 
bileto 	Noun 	ticket 	From French billet, German Billett. 	 
biletejo 	Noun 	place where one buys tickets, ticket office 	From bileto (“ticket”) +‎ -ejo (“place”). 	 
biletujo 	Noun 	wallet, billfold 	From bileto (“a bill”) +‎ -ujo (“container for”). 	 
biskvito 	Noun 	biscuit 	From French biscuit. 	 
bivako 	Noun 	bivouac 	Borrowed from English bivouac, French bivouac, Polish biwak, German Biwak, Russian бива́к (bivák). 	 
blago 	Noun 	joke 	From French blague. 	 
blazono 	Noun 	(heraldry) coat of arms 	Borrowed from French blason. 	 
blonda 	Adjective 	blond 	Borrowed from English blond, French blond, German blond. 	 
blua 	Adjective 	blue blue colour:   	From French bleu, German blau, and English blue. 	 
boji 	Verb 	to bark (make noise like a dog) 	Borrowed from French aboyer. 	 
bojeti 	Verb 	(intransitive) to yip, yap 	From boji (“to bark”) +‎ -et- (“little”). 	 
bombono 	Noun 	bonbon 	From French bonbon. 	 
bordo 	Noun 	shore 	From French bord. 	 
riverbordo 	Noun 	riverbank 	From rivero (“river”) +‎ bordo (“shore, bank, border”). 	 
boto 	Noun 	boot 	Borrowed from English boot, French botte. 	 
braceleto 	Noun 	bracelet (jewelry) 	From English/French bracelet, from Italian braccialetto (“small bracelet”), from bracciale (“bracelet”), from braccio (“arm”), from Latin bracchium, from Ancient Greek βραχίων (brakhíōn), from βραχύς (brakhús, “short”). 	 
brui 	Verb 	(intransitive) to make noise 	From French bruit. 	 
bruado 	Noun 	noise, clamor 	From brui (“to make noise”) +‎ -ado. 	 
bruli 	Verb 	(intransitive) to burn 	Borrowed from French brûler. 	 
brulado 	Noun 	combustion 	From bruli +‎ -ado. 	 
bruligi 	Verb 	(transitive) to burn (something) 	bruli +‎ -igi 	 
ekbruligi 	Verb 	(transitive) to kindle, light, ignite (as in a fire) 	From ek- +‎ bruli +‎ -igi. 	 
bruliĝi 	Verb 	(intransitive) to catch fire 	From bruli +‎ -iĝi. 	 
brulvundi 	Verb 	to burn 	brulo +‎ vundi 	 
ekbruli 	Verb 	(intransitive) to burn, to ignite, to light (as in a fire) 	ek- +‎ bruli 	 
bruna 	Adjective 	 brown 	From French brun, Italian bruno. 	 
brutala 	Adjective 	brutal, brutish 	From English brutal, French brutal, etc. 	 
brutaleco 	Noun 	brutality, viciousness 	From brutala +‎ -eco. 	 
buklo 	Noun 	lock of hair; curl 	Borrowed from French boucle. 	 
buljono 	Noun 	broth 	From French bouillon. 	 
bulteno 	Noun 	bulletin 	Borrowed from French bulletin. 	 
bulvardo 	Noun 	boulevard 	From French boulevard. 	 
burdo 	Noun 	bumble-bee 	French bourdon 	 
burĝono 	Noun 	bud 	From French bourgeon. 	 
burokrato 	Noun 	bureaucrat 	From French bureaucrate. 	 
burokrataro 	Noun 	all the bureaucrats in a given country, when viewed as a whole; the bureaucracy 	From burokrato +‎ -aro. 	 
burokratismo 	Noun 	bureaucracy (a system of government by bureaucrats) 	From burokrato (“bureaucrat”) +‎ -ismo. 	 
buŝo 	Noun 	mouth 	From French bouche. 	 
buŝa 	Adjective 	oral 	buŝo +‎ -a 	 
buŝangulo 	Noun 	corner of the mouth 	From buŝo (“mouth”) +‎ angulo (“corner, angle”). 	 
buŝtuko 	Noun 	napkin 	  	 
buŝumo 	Noun 	muzzle 	From buŝo +‎ -um-. 	 
butono 	Noun 	button 	Ultimately from French bouton. 	 
cerbo 	Noun 	(anatomy) brain 	From French cerveau and Latin cerebrum 	 
cerbumi 	Verb 	(intransitive) to think hard 	From cerbo (“brain”) +‎ -um- +‎ -i. 	 
cerba 	Adjective 	brainy 	  	 
sencerba 	Adjective 	brainless 	From sen- (“without, -less”) +‎ cerbo (“brain”) +‎ -a (adjectival ending). 	 
cidro 	Noun 	cider 	Borrowed from English cider, French cidre, Polish cydr, etc. 	 
cigaro 	Noun 	cigar 	Borrowed from French cigare and English cigar. 	 
cindro 	Noun 	ash 	Borrowed from French cendre, from Latin cinis, cinerem, from Proto-Indo-European *ken- (“dust, ashes”). 	 
cindrigi 	Verb 	(transitive) to incinerate 	From cindro (“ash, cinder”) +‎ -igi. 	 
cindrujo 	Noun 	ashtray 	From cindro (“cinder”) +‎ -ujo (“container for”). 	 
citrono 	Noun 	lemon (fruit of Citrus limon) 	Borrowed from French citron. 	 
ĉagreni 	Verb 	to annoy 	From French chagriner. 	 
ĉambelano 	Noun 	chamberlain 	French chambellan 	 
ĉambro 	Noun 	room 	From French chambre, from Latin camera, from Ancient Greek καμάρα (kamára). 	 
antaŭĉambro 	Noun 	antechamber, anteroom, entry room 	From antaŭ- +‎ ĉambro, perhaps influenced by English antechamber, French antichambre, Italian anticamera. 	 
ĉambraro 	Noun 	apartment 	From ĉambro +‎ -aro. 	 
ĉambrego 	Noun 	Augmentative of ĉambro (“room”) 	From ĉambro +‎ -eg-. 	 
ĉamo 	Noun 	chamois (Rupicapra rupicapra, a kind of wild goat). 	From French chamois + -o. 	 
ĉampano 	Noun 	champagne 	From French champagne. 	 
ĉampinjono 	Noun 	mushroom 	From French champignon. 	 
ĉano 	Noun 	cock (of a gun) 	From French chien. 	 
ĉapelo 	Noun 	hat 	From French chapeau and Italian cappello. 	 
ĉapitro 	Noun 	chapter 	From French chapitre. 	 
ĉarlatano 	Noun 	charlatan 	From French charlatan. 	 
ĉarma 	Adjective 	charming, delightful, cute 	From French charme, English charm. 	 
ĉarmo 	Noun 	charm (ability to delight) 	French charme 	 
ĉarniro 	Noun 	hinge 	French charnière 	 
ĉarpio 	Noun 	lint 	From French charpie. 	 
ĉasi 	Verb 	to hunt 	Borrowed from French chasser. 	 
ĉasado 	Noun 	hunt 	From ĉasi (“to hunt”) +‎ -ado. 	 
ĉasaĵo 	Noun 	game (hunted animal) 	From ĉasi (“to hunt”) +‎ -aĵo (“substance”). 	 
ĉasanto 	Noun 	one who is hunting, hunter 	singular present nominal active participle of ĉasi 	 
ĉasejo 	Noun 	hunting ground 	From ĉasi (“to hunt”) +‎ -ejo. 	 
ĉasisto 	Noun 	hunter (by profession) 	ĉasi (“to hunt”) +‎ -isto (“professional”) 	 
ĉatobriando 	Noun 	chateaubriand (steak cut from a beef tenderloin) 	Borrowed from French châteaubriand, named after French Romantic writer François-René de Chateaubriand, who is said to have enjoyed this type of steak. 	 
ĉe 	Preposition 	at (forms the locative case) 	From French chez. 	 
ĉefo 	Noun 	chief 	Borrowed from French chef, from Old French chief, from Vulgar Latin *capum, from Latin caput (“head”), from Proto-Italic *kaput, ultimately from Proto-Indo-European *kauput-, *kaput-. 	 
ĉemizo 	Noun 	shirt 	From French chemise, from Latin camisia. 	 
subĉemizo 	Noun 	vest 	From sub- (“under, below”) +‎ ĉemizo (“shirt”). 	 
T-ĉemizo 	Noun 	T-shirt 	  	 
ĉeno 	Noun 	chain 	From French chaine, English chain. 	 
ĉeneto 	Noun 	(diminutive of ĉeno) small chain 	From ĉeno +‎ -et-. 	 
ĉenhundo 	Noun 	guard dog 	ĉeno (“chain”) +‎ hundo (“dog”) 	 
ĉerizo 	Noun 	cherry 	Borrowed from French cerise, reinforced by English cherry. 	 
ĉerko 	Noun 	coffin 	French cercueil, reinforced by German Sarg 	 
ĉevalo 	Noun 	horse 	Borrowed from French cheval + -o. 	 
ĉevalaĉo 	Noun 	nag, awful horse 	From ĉevalo (“horse”) +‎ -aĉ- (pejorative suffix). 	 
ĉevalejo 	Noun 	horse stable 	From ĉevalo (“horse”) +‎ -ejo (“place”). 	 
ĉevalmuelejo 	Noun 	horse mill 	From ĉevalo +‎ muelejo. 	 
ĉevalviro 	Noun 	(mythology) (male) centaur[1] 	From ĉevalo (“horse”) +‎ viro (“man”). 	 
deĉevaliĝi 	Verb 	(intransitive) to dismount (specifically a horse) 	From de- +‎ ĉevalo (“horse”) +‎ -iĝi (“become”). 	 
ĉevrono 	Noun 	rafter 	From French chevron. 	 
ĉifi 	Verb 	crumple 	From French chiffonner. 	 
ĉifono 	Noun 	rag 	From French chiffon. 	 
ĉifri 	Verb 	to encrypt 	Borrowed from French chiffrer, ultimately from Medieval Latin cifra (“zero”), from Arabic صِفر‎ (ṣifr, “empty”); synchronically, ĉifro (“cipher, code”) +‎ -i (verbal suffix). 	 
ĉifro 	Noun 	cipher 	Borrowed from French chiffre, from Medieval Latin cifra (“zero”), from Arabic صِفر‎ (ṣifr, “empty”). 	 
da 	Preposition 	Of (used instead of de with quantities, to emphasize the quantity rather than the thing quantified, or to indicate the unity of a shape and its material, a container and its contents, or a group and its members)[1][2] 	From French de, Italian di, altered to differenciate de. 	 
danĝero 	Noun 	danger 	From English danger, French danger. 	 
debati 	Verb 	(transitive) to debate 	From de +‎ bati. 	 
decembro 	Noun 	(sometimes  capitalized) December (twelfth month of the Gregorian calendar) 	From French décembre, English December, Latin december. 	 
decidi 	Verb 	to decide 	Borrowed from French décider, Italian decidere, English decide. 	 
decida 	Adjective 	decisive 	From decidi +‎ -a. 	 
decidiĝi 	Verb 	(intransitive) to make up one's mind 	From decidi +‎ -iĝi. 	 
decido 	Noun 	decision 	  	 
demandi 	Verb 	(transitive) to ask, inquire, question 	From French demander. 	 
deputi 	Verb 	(transitive) to depute 	From French députer, from Latin dēputō. 	 
detalo 	Noun 	detail 	From French détail, English detail. 	 
detala 	Adjective 	detailed 	From detalo (“detail”) +‎ -a. 	 
detale 	Adverb 	in detail 	From detalo (“detail”) +‎ -e. First attested in the nineteenth century. 	 
detalema 	Adjective 	paying close attention to detail, attentive 	detalo (“detail”) +‎ -ema 	 
detrui 	Verb 	(transitive) to destroy 	Borrowed from French détruire. 	 
detruenda 	Adjective 	which must be destroyed 	From detrui (“destroy”) +‎ -enda (“required to”). 	 
devi 	Verb 	ought; should; must 	From French devoir. 	 
deziri 	Verb 	to desire, to wish 	Borrowed from French désirer and English desire, from Latin dēsīderō. 	 
deziregi 	Verb 	(transitive) to yearn for, desire greatly 	From deziri +‎ -eg-. 	 
